item_description,distinct_categories,observed_categories_with_counts,suggested_category,resolution_type,in_dash_sku_master
Roshen Johnny Krocker Coconut Wafer with Coconut Cream in Chocolate 4 X 1kg,1,Johnny Krocker 1KG (1),Johnny Krocker 1KG,single,yes
Roshen Sweets Johnny Krocker Choco 4 X 1Kg,1,Johnny Krocker 1KG (1),Johnny Krocker 1KG,single,yes
Roshen Sweets Johnny Krocker Milk 4 X 1Kg,1,Johnny Krocker 1KG (1),Johnny Krocker 1KG,single,yes
Roshen Roshetto Dark Chocolate 200 X 34G,1,Roshetto (1),Roshetto,single,yes
Roshen Roshetto Milk Chocolate 200 X 34G,1,Roshetto (1),Roshetto,single,yes
Roshen Roshetto Peanut 200 X 34G,1,Roshetto (1),Roshetto,single,yes
"Roshen Bonny Fruit Berry Mix, Mixed Fruit Flavoured Jelly 18 X 200G",3,Bonny Fruit (34) | Sweet Packet (3) | Johnny Krocker 350 G (2),Bonny Fruit,majority,yes
"Roshen Bonny Fruit Citrus Mix, Mixed Fruit Flavoured Jelly 18 X 200G",3,Bonny Fruit (34) | Sweet Packet (3) | Johnny Krocker 350 G (2),Bonny Fruit,majority,yes
"Roshen Bonny Fruit Summer Mix, Mixed Fruit Flavoured Jelly 18 X 200G",3,Bonny Fruit (34) | Sweet Packet (3) | Johnny Krocker 350 G (2),Bonny Fruit,majority,yes
Roshen Cracker 2 Crack with Cocoa-Hazelnut Filling  26 X 190g,2,2 Crack (2) | Sweet Packet (1),2 Crack,majority,yes
Roshen Cracker 2 Crack with Milk-Vanila Filling  26 X 190g,2,2 Crack (2) | Sweet Packet (1),2 Crack,majority,yes
Roshen Johnny Krocker Choco Wafer 12X350G,2,Johnny Krocker 350 G (7) | Bonny Fruit (2),Johnny Krocker 350 G,majority,yes
Roshen Johnny Krocker Milk Wafer 12X350G,2,Johnny Krocker 350 G (7) | Bonny Fruit (2),Johnny Krocker 350 G,majority,yes
Roshen Hard Candies Bim-Bom 11 X 200G,4,Sweet Packet (9) | Bonny Fruit (3) | 2 Crack (1) | Fudgenta 400 G (1),Sweet Packet,majority,yes
Roshen Hard Candies Sweet Drop 12 X 150G,4,Sweet Packet (9) | Bonny Fruit (3) | 2 Crack (1) | Fudgenta 400 G (1),Sweet Packet,majority,yes
Roshen Jelly Candies Сrazy Bee Frutty 12 X 200G,4,Sweet Packet (9) | Bonny Fruit (3) | 2 Crack (1) | Fudgenta 400 G (1),Sweet Packet,majority,yes
Roshen Jelly Candy 13X200G,4,Sweet Packet (9) | Bonny Fruit (3) | 2 Crack (1) | Fudgenta 400 G (1),Sweet Packet,majority,yes
Roshen Korivka Milk Sweets 12X205G,4,Sweet Packet (9) | Bonny Fruit (3) | 2 Crack (1) | Fudgenta 400 G (1),Sweet Packet,majority,yes
Roshen Milky Splash Toffee With Milk Filling 12 X 150G,4,Sweet Packet (9) | Bonny Fruit (3) | 2 Crack (1) | Fudgenta 400 G (1),Sweet Packet,majority,yes
Roshen Fudgenta 16X400G,2,Fudgenta 400 G (1) | Sweet Packet (1),,tie,yes
